timestamp,transcript
0:00 - 0:05,2 1 bắt đầu.
0:05 - 0:17,"When I got the news that I be going to friend to meet and work with our client in person, I was super excited."
0:18 - 0:30,"It was not only a promising experiences in a country far from my hometown bị mở mất chữ rồi, không nhìn thấy chữ gì."
0:30 - 0:32,Dừng đến what's excited thôi.
0:33 - 0:33,Thế dừng à?
0:33 - 0:34,Dừng thôi.
0:34 - 0:38,Dừng xong anh ấy lại 1 2 3 xong lại tiếp à?
0:38 - 0:40,"À, một câu xong dừng gì không?"
0:41 - 0:43,3 2 1 bắt đầu.
0:45 - 0:53,When I got the news that I be going to friend to meet and work with our client in person.
0:57 - 1:00,3 2 1 bắt đầu.
1:00 - 1:08,"When I got the news that I be going to friend to meet and work with our client in person, I was super excited."
1:11 - 1:13,Ok.
1:13 - 1:13,2 1 bắt đầu.
1:15 - 1:19,It was not
1:20 - 1:21,Bọn nói hết rồi.
1:28 - 1:36,"It was not only a promising appearances in a country far from my homeland of Vietnam, but it was also a reverse for my efforts."
1:43 - 1:45,3 2 1 bắt đầu.
1:46 - 1:56,"It was not only a promising experiences in a country far from my homeland of Vietnam, but it was also a reverse for my efforts."
1:59 - 2:00,Ok.
2:01 - 2:03,đẹp đấy.
2:03 - 2:06,3 2 1 bắt đầu.
2:08 - 2:20,"Hi, I'm Dương, a senior engineer with 5 year on Rabylo."
2:20 - 2:21,quên rồi.
2:22 - 2:26,5 years senior Rabylo.
2:26 - 2:28,2 1 bắt đầu.
2:29 - 2:34,"Hi, I'm Dương, a senior engineer with 5 years at Rabylo."
2:38 - 2:39,Ok.
2:44 - 2:45,đẹp đấy.
2:46 - 2:46,2 1 bắt đầu.
2:48 - 2:56,"Hi, I'm Dương, a senior engineer with 5 years at Rabylo."
2:58 - 3:06,My motto is still passionate.
3:06 - 3:07,Still passionate.
3:07 - 3:11,Always moving forward.
3:12 - 3:12,"Ok, lại nha."
3:13 - 3:14,Still passionate.
3:14 - 3:16,2 1 bắt đầu.
3:19 - 3:26,"Hi, I'm Dương, a senior a senior engineer."
