timestamp,transcript
0:00 - 0:04,"3, 2, 1, bắt đầu."
0:04 - 0:09,Từ khi gia nhập Ralo đến bây giờ thì anh cảm thấy bản thân mình thay đổi điều gì nhất?
0:10 - 0:12,Thế mình thì thay đổi nhiều lắm.
0:13 - 0:20,"Ờ từ vóc dáng, ờ công việc rồi tính cách."
0:21 - 0:28,Ờ ngày xưa ấy thì mình có 65 cân thôi.
0:28 - 0:32,bây giờ thì hơn 80 cân rồi.
0:32 - 0:35,Một sự thay đổi quá nhiều.
0:36 - 0:40,bụng thì bụng thì không chấp nhận nổi nữa.
0:41 - 0:48,Thực ra thì trong cái nghề này của mình ấy thì anh em nào chắc cũng có thể sẽ như thế.
0:48 - 0:50,Ông nào cũng bụng to lên.
0:51 - 0:55,Nhưng mà chắc là mình là cũng là một trường hợp tương đối đặc biệt.
0:56 - 0:58,Bụng to lên nhiều hơn.
0:59 - 1:05,"Rồi mấy vấn đề về xương khớp các thứ, lưng điếc các thứ là tương đối là là phế rồi."
1:15 - 1:17,"Thôi cắt đi, từ từ đã, chưa nghĩ ra đã."
1:20 - 1:21,"3, 2, 1 bắt đầu."
1:21 - 1:27,Từ khi gia nhập Ralo đến bây giờ thì anh cảm thấy bản thân mình đã thay đổi điều gì nhất?
1:28 - 1:35,Ừ mình thấy là chắc là có hai cái yếu tố mà mình thấy mình thay đổi.
1:35 - 1:41,"Thứ nhất là về ngoại hình, Ờ cái hồi mà mới ra trường ấy"
1:42 - 1:48,"à không, chính xác hơn là phải là cái hồi mà bởi vì mình chưa ra trường mình đã vào công ty rồi mà."
1:48 - 1:55,"Chính xác hơn là cái hồi mà năm tư, hồi đấy mình vòm lắm thì là"
1:55 - 1:56,trai lắm.
1:56 - 2:00,Body cực kỳ chuẩn luôn.
2:00 - 2:03,Nhưng mà đến bây giờ thì như các bạn thấy luôn.
2:04 - 2:09,Bụng to các thứ là rất nhiều rồi.
2:09 - 2:10,Nhưng mà vẫn rất khỏe nhá.
2:10 - 2:16,Hôm qua vẫn vít được trong cái đại hội vừa rồi vẫn vít được 100 cây.
2:17 - 2:21,Ờ còn điều thứ hai mà mình nghĩ là mình có thay đổi đó là phần tính cách.
